ID	P_mean	P_stdev	M_mean	M_stdev
V46	98.89667897	62.07765364	92.66051661	59.51348781
V402	66.74603175	44.49977385	113.1125541	87.02764667
V514	75.6350365	52.53422602	72.3649635	46.95266694
V559	109.8346457	96.86149137	99.82677165	101.3707699
V750	111.8327869	70.65315431	87.08196721	62.83132813
V824	89.06138934	66.69143455	95.80129241	85.54945059
V855	78.20873786	43.31472228	67.15533981	36.74598116
V930	88.06607143	58.38649788	160.0821429	107.5948769
V953	49.27978142	30.77963943	122.7333333	97.34834602
V974	74.11409396	49.19766053	88.7852349	54.56811073
Uchi2	202.4340659	178.9566635	140.5054945	123.0319688
Kim1	63.57058824	107.722073	72.04705882	125.5383612
Kim2	66.43380282	41.74601927	46.82816901	29.82316513
Leung1	89.23026316	68.1128582	73.57894737	52.82973225
Leung2	106.8464286	72.11331352	107.4071429	62.96193821
Lim3	103.8951613	89.92342787	80.36290323	81.4735594
Lim6	67.2755102	41.18519167	107.8979592	72.17771291
Lim7	63.8030303	62.27510318	60.5	46.85252491
Lim8	33.77005348	18.84770264	40.5026738	21.21481027
Lim11	55.8	40.98812836	53.01333333	38.90038332
Lim12	47.17948718	30.11874374	42.96581197	27.10029855
Lim16	60.06818182	38.40655586	47.81818182	29.48672485
Lim21	17.37704918	12.64154475	36.09836066	25.13420041
