ID	P_mean	P_stdev	R_mean	R_stdev
P02	229.4133333	410.3062951	145.8791946	105.1959445
P03	107.765625	101.0140371	179.3404255	459.9897213
P05	73.73684211	50.70919025	73.02325581	38.91164014
P06	47.93333333	29.45384336	99.55102041	122.3646376
P09	80.08163265	158.3250128	66.84745763	49.32109033
P10	144.245098	98.77886138	150.1666667	109.2193766
P11	173.1639344	104.3170106	176.3246753	133.7948072
P14	142.2229885	171.1648689	143.5818777	173.6390715
P15	142.8363636	94.42414245	200.3538462	116.3724037
P18	165.2772277	102.9596786	141.2727273	111.5579773
P20	240.3039216	423.5213907	210.9272727	127.1660124
P22	265.0104167	210.4859702	208.0454545	178.0480506
P23	143.3636364	111.0835935	178.1864407	130.2658917
P24	227.6308411	125.999997	208.0869565	135.6532569
P25	160.8125	119.9881342	130.904	77.11253325
P26	149.0611222	257.4604105	159.8276534	268.761827
P27	186.7410714	131.0198149	201.7491166	126.138787
P28	228.1833333	178.8303658	158.7744361	110.7778795
P30	75.29268293	179.6992398	64.35294118	187.5315214
P31	152.9833333	258.6744731	116.0309278	166.2979845
P33	89.46551724	151.7623159	111.8636364	217.4086981
P36	232.8163001	369.0056951	212.6060209	341.0477781
P38	74.56603774	55.12336403	85.84397163	65.23533869
