Individual	Pre_mean	Pre_stdev	Post_mean	Post_stdev
DFCI-09	138.1927083	127.5875898	136.5989583	137.6366011
DFCI-10	125.8246753	88.02203333	131.7045455	128.0693059
DFCI-11	169.9728097	643.5255818	141.2145015	347.5060467
DFCI-12	123.6245211	98.52805974	148.3678161	105.6657908
DFCI-33	136.1404358	105.5241255	142.8353511	98.29223124
FCCC-001	285.6316916	227.1929094	203.8865096	141.3493477
FCCC-004	267.5744308	258.9983791	193.0542907	165.7519686
FCCC-008	288.7157895	639.7229279	225.0578947	509.4483929
FCCC-012	305.3363472	301.3318341	275.0614828	281.2583385
FCCC-014	252.2864157	246.8289722	81.56464812	59.91349733
FCCC-017	247.6911263	200.730471	192.9658703	120.7519905
FCCC-021	247.8700787	160.860686	196.7913386	120.6237715
FCCC-022	196.8776978	135.7006223	127.059952	82.06877711
FCCC-023	206.6100386	178.4660249	179.1467181	118.0866514
FCCC-025	242.0661765	212.2934822	206.6593137	207.5285809
FCCC-026	239.7192661	192.600428	176.2642202	137.6518674
FCCC-043	168.2222222	94.78014641	108.2904483	65.37714433
MSK-0101	51.06532663	49.02184677	122.821608	108.030383
MSK-0234	137.9950495	111.3841581	102.6683168	68.00825435
MSK-0255	117.3872679	87.10777889	128.5543767	88.91704976
MSK-0331	200.9649123	132.4058043	73.64035088	52.0977703
MSK-0373	36.1280654	27.10686194	58.71117166	49.05941969
MSK-0439	154.2639594	123.4093159	69.16243655	87.41745351
MSK-0450	146.472973	87.39305789	108.1081081	77.98190496
MSK-0567	155.8982188	90.76572658	145.6895674	91.84166216
MSK-0651	153.2515723	90.20577235	85.20125786	68.6691805
MSK-0745	173.7192118	126.7144883	126.3448276	91.66919166
MSK-0754	129.9834711	91.12546826	54.23966942	46.4386247
MSK-0760	86.87234043	55.65609333	101.1631206	79.04353986
MSK-0820	123.61	84.22409335	68.61	56.29598476
