PID	P_1_freq	M_1_freq
V46	0	0
V46	15.7	0
V46	11.1	0
V46	39.4	21.4
V46	8.2	0
V46	42.9	35.6
V46	27.7	46
V46	6.4	0
V46	0	36.5
V46	5.1	1.9
V46	19.5	0
V46	5.8	0
V46	37	38
V46	42.8	53.1
V46	19.1	27
V46	13.3	32.4
V46	23.1	0
V46	22.9	29.7
V46	28.1	26
V46	31.7	58.2
V46	0	0
V46	0	0
V46	0	44
V46	0	23.1
V46	0	51.9
V46	10	0
V46	20	26.6
V46	44.2	48.3
V46	38.9	47.1
V46	0	29.7
V46	6.4	0.9
V46	4.1	0
V46	0	27.4
V46	0	41.9
V46	0	32
V46	8.9	0
V46	20.5	42.6
V46	0	21.4
V46	31.7	35.6
V46	0	44.7
V46	20.7	0
V46	11.8	0
V46	5.9	0
V46	0	0
V46	0	7.1
V46	5	0
V46	0	0
V46	26.9	27.3
V46	0	27.4
V46	0	20.6
V46	4.1	0
V46	36.6	20.9
V46	0	33
V46	25.9	55.8
V46	0	8.2
V46	8.5	0
V46	0	31.8
V46	25	30.6
V46	23.2	34.6
V46	13.9	36
V46	13	35.3
V46	0	44.1
V46	18	50.4
V46	0	5.8
V46	0	4.9
V46	27.3	87.5
V46	6.8	0
V46	5.3	0
V46	28.4	24.1
V46	19.1	0
V46	6	1
V46	3.2	35.4
V46	26.7	0
V46	0	0
V46	0	11.4
V46	20.6	0
V46	41.9	89
V46	4.4	0
V46	26.8	40.4
V46	0.9	0
V46	24.7	0
V46	0.7	34.7
V46	23.4	0
V46	0	15.5
V46	17.1	0
V46	0	0
V46	0	46.9
V46	28	0
V46	31.1	89.1
V46	8	0
V46	4.9	0
V46	15.4	55.2
V46	0	62.9
V46	15	0
V46	0	18.8
V46	0	24.6
V46	21.9	44.2
V46	0	25
V46	25	22.6
V46	16.4	26.8
V46	0	26.7
V46	14.5	28.8
V46	0	5.6
V46	0	41.9
V46	0	43.7
V46	35.6	39.6
V46	0	30.1
V46	17.6	18.1
V46	0	9.4
V46	20	0
V46	53.7	57.4
V46	0	29.5
V46	13.3	24.8
V46	59.8	64
V46	0	24.4
V46	0	0
V46	49.6	54.9
V46	19.4	0
V46	0	24
V46	0	26.3
V46	7.2	0
V46	1.1	0.7
V46	0	36.4
V46	19.5	29.4
V46	20	7.5
V46	4.5	0
V46	31.9	23.5
V46	32.3	29.1
V46	0	22.8
V46	0	34.1
V46	35.1	42.6
V46	28.8	40.8
V46	0.7	14.4
V46	5.2	0
V46	6.2	0
V46	0	55.6
V46	61.2	83.6
V46	0	18.2
V46	0	0
V46	7.1	0
V46	6.7	0
V46	0	50.8
V46	70	65.5
V46	5	0
V46	17.1	23.7
V46	39	46.7
V46	7.3	0
V46	28.6	33.7
V46	36.2	57.8
V46	47.1	65.9
V46	8.7	0
V46	0	17.1
V46	4.8	0.6
V46	9.7	0
V46	58	48.9
V46	25	25
V46	4.4	0
V46	5.5	0
V46	0	6.9
V46	50.4	64.6
V46	8	0
V46	12.2	0
V46	0	31.1
V46	5.5	0
V46	1.7	0
V46	0	43.9
V46	8.4	25.7
V46	1.6	0
V46	21	24.6
V46	5.3	0
V46	0	0
V46	4.9	0.9
V46	0	20
V46	28.3	21.5
V46	56	63.5
V46	25.4	18.1
V46	0	16.7
V46	6.2	0
V46	5.4	0
V46	50	66.7
V46	46.7	66.8
V46	38.5	51.4
V46	20	0
V46	8.3	0
V46	24.1	0
V46	0.8	0
V46	10.7	13.5
V46	59	68.4
V46	0	13.5
V46	0	14.3
V46	10.1	0.4
V46	4.2	0.6
V46	43.4	57.3
V46	0	16.3
V46	0	11.9
V46	0	6.6
V46	20	0
V46	24.3	25.9
V46	8.5	0
V46	37.2	56.9
V46	21.5	28.6
V46	14.1	19.2
V46	0	39.8
V46	0	17.9
V46	0	21
V46	64.2	83.3
V46	0	0
V46	0	0
V46	51.1	51.4
V46	13.9	30
V46	60.2	48.5
V46	0	26.7
V46	0	18.8
V46	1.5	0
V46	0.7	0.6
V46	20.3	33.3
V46	20.5	24.5
V46	53.6	62.4
V46	60.6	62.1
V46	0.7	0
V46	76.9	86.4
V46	13	0
V46	48.3	76.9
V46	50.6	91.3
V46	11.4	0
V46	25.4	26.9
V46	25.7	27.2
V46	4.1	0
V46	24.9	24.3
V46	5.7	0
V46	21.1	46.2
V46	8	13.6
V46	4.6	0
V46	0	15
V46	0	6.9
V46	5	0
V46	6.5	0
V46	54.5	88.7
V46	12.8	0
V46	8	0
V46	12.9	0
V46	21.6	51.5
V46	0.8	30.6
V46	57.1	78.8
V46	54.2	83.6
V46	6.5	0
V46	0	44.3
V46	63.5	83.9
V46	5	0
V46	0	41.2
V46	5.4	0
V46	39.1	44.9
V46	37.5	12.5
V46	7.8	0
V46	4.1	0
V46	12.9	0
V46	0	21.1
V46	23.7	0
V46	0	0
V46	0	12
V46	0	24.4
V46	0	21.7
V46	6.4	0
V46	0	17.6
V46	35.3	0
V46	0	17.7
V46	0	12.1
V46	0	19
V46	8.2	0
V46	15	0
V46	0	0
V402	1.2	0
V402	1	0
V402	5.9	0
V402	20	0
V402	4.5	2.9
V402	0	0
V402	10.7	0
V402	0	1.7
V402	0	0
V402	0	8.5
V402	0	0
V402	0	0
V402	0	0
V402	18.8	0
V402	0	0
V402	11.1	0
V402	7.8	0
V402	7.7	0
V402	1.9	0
V402	27.3	39.3
V402	7.1	0
V402	0	0
V402	0	0
V402	6.5	0
V402	2.1	41.7
V402	8.2	0
V402	0	0
V402	0	0.5
V402	9.1	0
V402	30.5	42.8
V402	0	0
V402	0	0
V402	4.7	0.6
V402	0.9	0
V402	18.9	0
V402	10.5	0
V402	5.5	0
V402	21.4	35.7
V402	0	0
V402	11.1	0
V402	6.5	0
V402	6.2	0
V402	0	0
V402	25	0
V402	10.8	0
V402	15.6	1.6
V402	0	0
V402	0	0
V402	6.8	0
V402	6.2	1
V402	0	1.2
V402	0	2.2
V402	8.5	0
V402	0	0
V402	0	0
V402	0	0
V402	7.9	0
V402	12.5	2.4
V402	0	0
V402	1.9	0.4
V402	0	0
V402	10.3	0
V402	0	0
V402	7.5	0.4
V402	12.1	0
V402	10.5	0
V402	19.2	47.6
V402	7.1	0
V402	1.1	1.1
V402	0	0
V402	6.8	0.7
V402	0	0
V402	0	0
V402	3.6	0
V402	0	0
V402	6.8	0
V402	8.9	0
V402	0	0
V402	0	0
V402	0	0.6
V402	0	0
V402	44.9	37
V402	6.2	0
V402	10	0
V402	2.5	1.2
V402	18.5	38.5
V402	0	0
V402	1.2	0
V402	0	3.7
V402	38.4	37.5
V402	23.5	32.6
V402	12.5	0
V402	1.6	0
V402	0	0
V402	1.9	0
V402	1.4	0
V402	10.3	0
V402	0	0
V402	0	1.6
V402	0.6	0
V402	8.8	0
V402	31.6	32.4
V402	5.4	0.6
V402	2.9	3.4
V402	0	0
V402	0	0
V402	0	0
V402	0	0
V402	0	0
V402	6.2	0
V402	0	0
V402	11.1	0
V402	8.7	0
V402	7	1.1
V402	5.4	0.7
V402	6.5	0
V402	8.3	0
V402	0	0
V402	33.8	31
V402	0	42.6
V402	0	0
V402	31.1	46.3
V402	24.6	43.9
V402	6.2	0
V402	6.8	0
V402	11.3	0
V402	9.8	0
V402	0	0
V402	17	0
V402	0	0
V402	0	0
V402	0	0
V402	10.9	0.7
V402	0	0
V402	8.3	0
V402	0.7	36.4
V402	16	0
V402	8.7	0
V402	1.5	0
V402	1.9	0
V402	0	0
V402	0	0
V402	34.4	41
V402	1.8	0
V402	27.8	48.6
V402	0	0
V402	0	0
V402	0	0
V402	0	0
V402	12.1	0
V402	0	0
V402	0	0
V402	0	0
V402	6.7	0
V402	10	0
V402	3.3	0
V402	25	1.7
V402	10.8	0
V402	0	0
V402	0	0
V402	34.4	44.9
V402	0	0
V402	0.7	0
V402	0	0
V402	8.7	0
V402	4	0
V402	0	0
V402	2.3	0
V402	0	0
V402	25.5	44
V402	0	0
V402	0	0
V402	13.3	0
V402	0	0.7
V402	0	0
V402	0	0
V402	38.5	43.1
V402	1.7	0
V402	2.5	0
V402	1.6	0
V402	0	0
V402	0	0
V402	9.5	0
V402	0	0
V402	0	1.6
V402	10.3	0
V402	0	0.8
V402	0	0
V402	30.1	35.7
V402	0	39.3
V402	10.4	0
V402	5.3	0
V402	7.3	0
V402	0	0
V402	21.2	34.1
V402	0	0
V402	10.6	0
V402	0	0
V402	37.4	45.1
V402	0	0
V402	0	0.6
V402	0.9	0
V402	0	0.6
V402	0	42.2
V402	0	0
V402	0	0.7
V402	12.9	0
V402	0	0.6
