PID	P_1_freq	R_1_freq
P02	80.80808081	47.07602339
P02	61.9047619	0
P02	49.42528736	53.89221557
P02	53.40909091	44.26229508
P02	80.95238095	79.6875
P02	7.843137255	0
P02	2.197802198	0
P02	41.04046243	56.88622754
P02	54.47154472	42.5
P02	46.92307692	42.48366013
P02	1.730103806	0
P02	41.81818182	32.55813953
P02	39.39393939	0
P02	20	28.20512821
P02	32.26950355	29.06403941
P02	1.15942029	0
P02	4.587155963	0
P02	32.74336283	50
P02	5.882352941	0
P02	41.02564103	47.74774775
P02	1.619433198	0
P02	35.71428571	0
P02	39.1025641	48.31460674
P02	44.31137725	38.19444444
P02	45.83333333	44.57831325
P02	38.94736842	40.74074074
P02	2.415458937	0
P02	3.25203252	0
P02	1.524390244	0
P02	1.063829787	0
P02	47.56097561	43.80952381
P02	2.739726027	0
P02	26.4516129	31.73076923
P02	27.07006369	23.26732673
P02	43.26923077	47.42268041
P02	6.896551724	0
P02	44.92753623	0
P02	2.285714286	0
P02	6.41025641	0
P02	37.5	41.42857143
P02	45.45454545	48.92703863
P02	40.81632653	43.84615385
P02	32.5	43.80952381
P02	18.18181818	0
P02	2.395209581	0
P02	1.785714286	0
P02	43.66197183	49.15254237
P02	36.84210526	45.03816794
P02	41.42857143	0
P02	1.515151515	0
P02	46.66666667	53.60824742
P02	39.3442623	32.60869565
P02	50	46.35193133
P02	41.73913043	0
P02	2.02020202	0
P02	7.142857143	0
P02	1.413427562	0
P02	32.87671233	23.52941176
P02	92.81663516	0
P02	12.50939144	0
P02	1.418439716	0
P02	32.75862069	0
P02	35.65891473	31.57894737
P02	1.234567901	0
P02	25.73839662	0
P02	28.67647059	21.34831461
P02	42.14876033	43.35260116
P02	49.39759036	0
P02	39.53488372	37.5
P02	5.785123967	0
P02	3.225806452	0
P02	41.47727273	50.56179775
P02	54.23728814	0
P02	50.68493151	50.61728395
P02	42.67515924	41.78403756
P02	0	25.35211268
P02	0	23.86363636
P02	0	4
P02	0	45.56962025
P02	0	13.44537815
P02	0	1.530612245
P02	0	3.539823009
P02	0	37.06293706
P02	0	9.803921569
P02	0	18.90243902
P02	0	23.40425532
P02	0	3.053435115
P02	0	47.89915966
P02	0	1.030927835
P02	0	9.459459459
P02	0	93.33333333
P02	0	20.91836735
P02	0	40.35087719
